,code,outstanding,liquid_assets,totals,totalAssets,growth
36,002737,1.2,40.116,2.92,12741951.1417,-1.38
37,002363,3.86,48.36579999999999,3.86,3172215.8397999997,0.4
38,000576,4.34,70.2646,4.43,2193923.8995,-8.34
39,300409,1.11,73.9038,2.15,12151245.485199999,-49.53
40,000839,39.19,518.8756,39.2,17300827.16,-26.13
41,300370,3.12,53.352000000000004,5.99,3930815.4750000006,-50.82
42,002728,0.57,12.021299999999998,2.0,3385083.3504,17.97
43,600433,11.9,99.484,12.71,3347531.0968,-4.9
44,600277,20.9,116.83099999999999,27.39,12691702.3025,33.63
45,002378,9.23,77.1628,9.24,2745315.5708,26.2
46,002098,3.1,36.363,3.58,1749789.0849000001,29.75
47,002750,2.25,80.9325,4.0,2582666.5029,-56.96
48,600423,3.99,22.6632,3.99,2392069.8608,36.09
49,600503,15.63,130.5105,16.02,5353785.198,-1.56
50,000739,10.6,64.872,11.47,3346155.1656,34.64
51,300366,1.01,23.1492,2.63,4092071.0196,52.71
52,002303,10.21,112.7184,15.42,3709847.4863999994,-14.95
53,300125,0.9,21.852,1.18,4637921.6532000005,11.86
54,000893,4.01,68.85170000000001,7.57,9098245.64,-20.15
55,600062,5.72,89.518,7.24,12645820.2095,47.92
56,603993,129.54,440.436,168.87,15228428.299999999,47.06
57,600850,4.2,163.38,4.2,19215411.216,-36.53
58,600845,4.98,173.2542,7.83,23079294.6125,-44.06
59,002574,5.28,93.72,5.28,8602885.2225,-37.86
60,002617,5.6,129.92,7.35,7656971.615999999,-32.5
61,000801,10.23,230.27730000000003,10.23,11192382.807500001,-45.71
62,600749,1.89,32.54579999999999,1.89,2373222.6881999997,25.15
63,601558,56.62,160.80079999999998,60.31,3239897.2191999997,-20.77
64,600129,4.27,59.779999999999994,4.27,13672871.66,29.29
65,002485,3.2,70.976,3.2,5432102.691000001,-11.27
66,600661,1.81,46.7523,2.59,5251570.657199999,5.03
67,300222,2.8,48.608,7.28,8153775.0,19.47
68,300382,0.64,22.144000000000002,1.25,4236685.23,22.75
69,600089,32.0,259.84,32.38,62532619.379999995,29.68
70,000068,8.97,85.84290000000001,10.07,785567.4222,-16.93
71,600572,20.58,187.27799999999996,25.11,9319452.233,-23.52
72,600401,47.25,107.72999999999999,47.25,3951183.57,3.51
73,600110,11.5,129.72,11.5,6107950.123199999,-3.19
74,002409,1.65,44.879999999999995,3.44,4138995.9839999997,-16.65
75,603309,0.77,24.7401,2.0,2942210.2878,-23.44
76,002217,4.67,55.666399999999996,15.64,14679526.249599999,51.01
77,600475,2.56,42.547200000000004,2.56,8327915.3628,19.74
78,300250,1.13,69.7888,2.3,10857845.8784,-58.57
79,600566,7.81,167.9931,8.1,9858088.710900001,45.56
80,603519,0.77,28.798,1.6,3101599.5779999997,-19.09
81,601567,10.15,121.0895,14.19,13168093.968399998,-2.18
82,002771,0.36,46.43279999999999,0.81,11540013.433199998,-50.18
83,300340,0.82,21.688999999999997,1.18,2585951.962,77.24
84,002118,10.25,132.73749999999998,12.81,8272896.285499998,-46.02
85,300206,3.4,61.879999999999995,5.85,2569406.658,-51.21
86,300151,2.84,39.5896,5.03,1374365.9282,-23.6
87,600365,4.0,60.76,4.0,1373876.4109,-25.08
88,300123,2.74,37.647600000000004,3.02,2862800.4480000003,37.34
89,600119,3.07,44.30009999999999,3.07,3819030.6687000003,42.62
90,300063,1.38,42.2694,2.91,11885625.993599998,-15.8
91,000517,30.36,139.65599999999998,31.84,4176365.8979999996,25.43
92,002611,2.93,26.252800000000004,6.42,2717058.4448,78.91
93,603799,2.71,38.211,5.93,13328206.608,264.75
94,000962,4.41,42.247800000000005,4.41,2624793.065,26.51
95,600557,4.42,73.41619999999999,6.16,7596092.0101,5.36
96,300289,3.18,43.0254,4.24,2171734.125,-15.89
97,600712,5.38,44.385,5.45,1707432.8699999999,29.58
98,600055,3.46,89.441,3.86,5276973.7625,-35.47
99,600794,10.72,52.2064,12.12,1771978.72,20.74
100,002762,0.51,33.915,2.02,6284777.345,-21.77
101,300433,2.06,134.312,21.82,145970363.1,-56.26
102,002352,1.33,40.5118,41.84,2671771.7906,49.8
103,600206,8.39,74.3354,8.39,2883139.5108000003,14.56
104,002484,4.9,80.017,6.27,5518338.765199999,-6.31
105,000975,8.79,146.35349999999997,10.82,8231121.638999999,-0.9
106,000786,13.78,126.50039999999998,17.89,13063737.893399999,28.1
107,603669,0.86,22.36,2.6,3269735.8200000003,16.92
108,300439,1.1,29.601000000000003,3.48,5712320.788199999,0.63
109,300294,1.38,61.67219999999999,2.67,10169079.4521,26.7
110,002192,1.9,81.947,2.6,4140878.9525,-51.03
111,000605,1.18,20.531999999999996,2.52,4397031.33,21.32
112,600619,4.61,51.2171,8.66,12274316.889999999,20.16
113,600493,2.72,31.3072,2.72,1115222.4311,33.45
114,600367,2.91,28.1106,2.91,1576077.8796,36.13
115,300106,2.1,25.830000000000002,2.11,3090304.521,24.96
116,300215,5.24,61.83200000000001,7.58,4626750.854,8.47
117,300418,4.44,155.26680000000002,11.27,20871486.0575,-39.09
118,000977,9.95,207.4575,9.99,16702574.0865,0.62
119,002019,5.6,237.99999999999997,11.01,29203410.05,-60.19
120,002543,3.37,49.2357,4.4,6690539.0484,19.71
121,600982,6.76,44.4132,7.47,2274073.3116,-9.74
122,300116,3.38,31.095999999999997,12.16,15911503.499999998,86.96
123,603883,0.84,59.623200000000004,2.67,33674544.54,-36.76
124,600549,8.87,155.8459,10.82,27560051.6275,38.76
125,300468,0.57,42.6189,1.04,7038344.5978999995,-32.98
126,600988,6.1,75.945,7.13,4548874.801499999,22.73
127,300356,1.19,51.3723,1.66,9699269.827200001,-32.04
128,002731,0.53,11.8773,1.51,5811780.7152,29.72
129,601313,3.97,40.891000000000005,3.97,2826994.341,15.24
130,600363,4.43,71.45589999999999,4.43,6108234.8592,11.35
131,600756,3.24,85.37400000000001,3.24,7153481.663000001,-17.72
132,002036,3.92,82.0456,5.82,7274863.8417,-9.75
133,300235,0.95,26.2105,1.58,1047126.029,-20.19
134,000816,10.89,68.3892,14.19,4136931.9764,3.66
135,300287,8.36,117.62519999999999,14.35,9455537.796600001,-22.46
136,600381,2.06,35.9882,6.86,3640765.4699999997,3.21
137,300016,2.54,64.2112,3.26,2598150.9888000004,-31.57
138,002705,1.64,25.5348,5.75,8657154.4842,14.71
139,601311,8.48,114.90400000000001,8.48,9008912.349000001,23.25
