,code,outstanding,liquid_assets,totals,totalAssets,growth
1589,002041,8.74,152.7752,8.8,7408523.753200001,5.15
1590,600643,14.34,183.2652,14.37,15223251.645,6.1
1591,300041,2.54,33.2232,4.01,2387510.4504,-13.76
1592,600232,3.65,45.041,3.65,2050403.6642,0.81
1593,600388,10.69,142.2839,10.69,18961950.1478,-2.55
1594,002010,4.13,80.32849999999999,32.58,30368853.253499996,-0.77
1595,600757,12.13,109.77650000000001,12.14,9422815.9265,-3.2
1596,002023,6.59,104.5833,7.57,9269441.8047,-11.41
1597,002423,4.66,53.4968,5.03,4216400.9188,12.02
1598,002658,3.04,51.163199999999996,6.05,3118743.0648,-1.84
1599,601518,12.13,53.493300000000005,12.13,3131414.2125,1.59
1600,000806,6.98,125.36080000000001,11.0,5087244.1748,-30.9
1601,002157,13.63,103.31540000000001,22.91,7492923.309800001,-14.51
1602,600512,9.71,50.492000000000004,15.99,3867260.176,8.85
1603,601811,0.99,28.8882,12.34,35033920.31339999,-28.0
1604,002131,8.87,160.36959999999996,16.07,19498163.56,-19.52
1605,002763,0.65,24.96,2.16,7557416.832,-13.96
1606,600839,46.1,202.379,46.16,25357291.915,2.51
1607,600981,2.42,22.578599999999998,22.42,31451891.835,-3.97
1608,300048,6.91,65.2304,7.87,3681389.1103999997,-12.5
1609,002221,12.72,169.812,16.2,28854830.175,4.42
1610,600131,3.97,49.0295,5.04,3112327.2049999996,-16.28
1611,300001,8.46,171.90720000000002,9.98,17228365.4416,-16.83
1612,002612,2.1,46.30500000000001,4.0,9898114.684500001,-20.91
1613,600320,27.68,143.1056,43.9,31931259.03,6.19
1614,002199,1.32,22.387200000000004,2.43,2257343.0976,5.9
1615,002770,2.71,34.2273,5.76,2848497.8301,-11.32
1616,000921,9.02,95.79239999999999,13.63,19944597.675599996,16.57
1617,300471,0.87,44.37,1.48,11293067.700000001,-5.16
1618,000504,3.11,50.1954,3.12,134835.49680000002,4.03
1619,300285,2.06,79.57780000000001,2.99,7534226.3869,-3.99
1620,000669,4.79,89.4772,4.86,22045479.958399996,-6.75
1621,300083,11.28,92.6088,14.32,7873347.390100001,-10.96
1622,000543,17.9,149.28599999999997,17.9,19767772.41,-10.31
1623,000756,3.07,42.4888,4.57,6366108.5296,-3.25
1624,002148,2.01,44.22,2.58,2591276.6,-8.14
1625,000520,10.12,73.4712,10.12,379704.75179999997,11.29
1626,600726,15.35,81.35499999999999,19.67,13073890.275,-2.64
1627,600467,14.61,66.1833,14.61,2400956.3532,-0.88
1628,002521,4.3,47.772999999999996,4.95,4585491.071699999,3.96
1629,603889,1.42,24.7648,3.25,2708841.3168,-6.08
1630,000882,18.85,78.98150000000001,22.26,4547235.7547,6.68
1631,000547,9.01,122.53599999999999,14.3,9009654.016,14.85
1632,600182,1.7,56.065999999999995,3.4,7865568.068199999,-14.4
1633,600831,5.63,80.7905,6.05,9272065.95,-6.9
1634,000938,2.06,128.3174,10.42,224980143.22,-9.71
1635,603167,4.81,54.689699999999995,4.81,4356874.9617,-1.41
1636,600315,6.71,186.8064,6.73,22093065.36,2.84
1637,002608,5.37,50.9613,32.53,1292643.6237,15.07
1638,603198,1.66,39.82339999999999,8.0,12065175.3081,-7.04
1639,603031,0.2,15.696000000000002,0.8,10496904.832799999,-33.21
1640,600487,11.51,214.5464,12.41,36043105.52,11.86
1641,002385,23.82,176.0298,41.01,10934884.1957,-10.01
1642,600054,5.13,85.51710000000001,7.47,6893737.305100001,-4.62
1643,000539,25.54,139.7038,52.5,39175828.21,2.38
1644,600826,4.21,127.2683,4.21,15142413.773200002,-6.95
1645,600589,6.02,58.0328,7.05,4789162.5076,-11.62
1646,300426,1.5,47.099999999999994,4.0,7290394.538,-19.14
1647,002069,6.82,77.6798,7.11,4914257.5291,-2.19
1648,002268,3.45,114.78150000000002,4.33,10754126.2638,-6.19
1649,002559,3.08,45.584,3.73,3121834.596,-12.5
1650,002684,2.09,67.61149999999999,3.29,15960004.811500002,-3.31
1651,600162,17.62,78.93760000000002,34.03,6587337.120000001,-11.61
1652,002394,3.24,60.458400000000005,3.24,8840363.2794,-4.13
1653,603026,1.4,66.08,2.03,10191065.752,-22.12
1654,002656,2.56,47.334399999999995,4.1,6215139.6631,-2.11
1655,300020,6.21,112.52520000000001,6.56,10317192.780000001,-14.24
1656,300011,3.74,85.272,5.3,7394047.752000001,-15.61
1657,000559,22.9,336.40099999999995,22.94,16174929.542199997,-13.07
1658,601800,117.47,1845.4537,161.75,1245365005.2,13.75
1659,600675,18.67,100.63130000000001,18.67,16400753.985,46.57
1660,000900,10.1,84.032,10.12,17989348.0,7.45
1661,600397,9.9,55.638000000000005,9.9,5140457.3706,0.0
1662,600808,59.68,178.44320000000002,77.01,18725610.540000003,20.4
1663,300042,1.12,43.232000000000006,1.34,3488065.84,-13.78
1664,000955,5.38,46.052800000000005,5.38,1016908.9112000001,-13.55
1665,600460,12.47,83.2996,12.47,3324296.9899999998,-6.29
1666,600975,4.69,43.9453,6.53,1740460.634,-4.7
1667,002434,10.06,161.06060000000002,13.5,10550025.6475,-1.31
1668,600703,40.78,511.78900000000004,40.78,28864996.8625,21.59
1669,600188,29.6,393.97600000000006,49.12,193624163.70000002,-15.93
1670,300157,5.77,58.6232,7.13,5724676.1808,-11.81
1671,600037,11.68,202.2976,13.92,25204860.72,-10.57
